Epoch: 1, Train loss: 0.0482, Train Acc: 0.9843, Val loss: 0.3049, Val Acc: 0.9479, Time: 2.4min (2.4 min/epoch)
Epoch: 18, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3313, Val Acc: 0.9571, Time: 41.6min (2.3 min/epoch)
Epoch: 19, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2998, Val Acc: 0.9632, Time: 43.9min (2.3 min/epoch)
Epoch: 20, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3158, Val Acc: 0.9632, Time: 46.2min (2.3 min/epoch)
Epoch: 21, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3341, Val Acc: 0.9571, Time: 48.5min (2.3 min/epoch)
Epoch: 22, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3345, Val Acc: 0.9663, Time: 50.8min (2.3 min/epoch)
Epoch: 23, Train loss: 0.0207, Train Acc: 0.9934, Val loss: 0.5163, Val Acc: 0.9080, Time: 53.1min (2.3 min/epoch)
Epoch: 24, Train loss: 0.0402, Train Acc: 0.9869, Val loss: 0.8241, Val Acc: 0.8957, Time: 55.4min (2.3 min/epoch)
Epoch: 25, Train loss: 0.0148, Train Acc: 0.9934, Val loss: 0.5825, Val Acc: 0.9110, Time: 57.7min (2.3 min/epoch)
Epoch: 26, Train loss: 0.0034, Train Acc: 0.9993, Val loss: 0.4403, Val Acc: 0.9294, Time: 60.0min (2.3 min/epoch)
Epoch: 27, Train loss: 0.0037, Train Acc: 0.9987, Val loss: 0.3539, Val Acc: 0.9479, Time: 62.3min (2.3 min/epoch)
Epoch: 28, Train loss: 0.0003, Train Acc: 1.0000, Val loss: 0.3630, Val Acc: 0.9509, Time: 64.6min (2.3 min/epoch)
Epoch: 29, Train loss: 0.0002, Train Acc: 1.0000, Val loss: 0.3923, Val Acc: 0.9540, Time: 67.0min (2.3 min/epoch)
Epoch: 30, Train loss: 0.0223, Train Acc: 0.9941, Val loss: 0.3608, Val Acc: 0.9325, Time: 69.3min (2.3 min/epoch)
Epoch: 31, Train loss: 0.0021, Train Acc: 1.0000, Val loss: 0.3879, Val Acc: 0.9479, Time: 71.6min (2.3 min/epoch)
Epoch: 32, Train loss: 0.0038, Train Acc: 0.9974, Val loss: 0.3829, Val Acc: 0.9479, Time: 73.8min (2.3 min/epoch)
Epoch: 33, Train loss: 0.0062, Train Acc: 0.9974, Val loss: 0.5013, Val Acc: 0.9294, Time: 76.1min (2.3 min/epoch)
Epoch: 34, Train loss: 0.0099, Train Acc: 0.9967, Val loss: 0.3015, Val Acc: 0.9601, Time: 78.4min (2.3 min/epoch)
Epoch: 35, Train loss: 0.0011, Train Acc: 1.0000, Val loss: 0.2861, Val Acc: 0.9632, Time: 80.7min (2.3 min/epoch)
Epoch: 36, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2645, Val Acc: 0.9693, Time: 83.0min (2.3 min/epoch)
Epoch: 37, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.3015, Val Acc: 0.9601, Time: 85.3min (2.3 min/epoch)
Epoch: 38, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2860, Val Acc: 0.9663, Time: 87.6min (2.3 min/epoch)
Epoch: 39, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2855, Val Acc: 0.9601, Time: 90.0min (2.3 min/epoch)
Epoch: 40, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2846, Val Acc: 0.9663, Time: 92.3min (2.3 min/epoch)
Epoch: 41, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2847, Val Acc: 0.9632, Time: 94.6min (2.3 min/epoch)
Epoch: 42, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2844, Val Acc: 0.9663, Time: 96.9min (2.3 min/epoch)
Epoch: 43, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2715, Val Acc: 0.9632, Time: 99.2min (2.3 min/epoch)
Epoch: 44, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2776, Val Acc: 0.9663, Time: 101.5min (2.3 min/epoch)
Epoch: 45, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2867, Val Acc: 0.9693, Time: 103.8min (2.3 min/epoch)
Epoch: 46, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2982, Val Acc: 0.9663, Time: 106.0min (2.3 min/epoch)
Epoch: 47, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2960, Val Acc: 0.9693, Time: 108.3min (2.3 min/epoch)
Epoch: 48, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3231, Val Acc: 0.9632, Time: 110.6min (2.3 min/epoch)
Epoch: 49, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2926, Val Acc: 0.9663, Time: 112.9min (2.3 min/epoch)
Epoch: 50, Train loss: 0.0046, Train Acc: 0.9974, Val loss: 0.4850, Val Acc: 0.9356, Time: 115.2min (2.3 min/epoch)
